Code	Name	Grade	Subject	Type	Description
ENG4UI	English	12	English	University	"This course emphasizes the consolidation of the literacy, communication, and critical and creative thinking skills necessary for success in academic and daily life. Students will analyse a range of challenging literary texts from various periods, countries, and cultures; interpret and evaluate informational and graphic texts; and create oral, written, and media texts in a variety of forms. An important focus will be on using academic language coherently and confidently, selecting the reading strategies best suited to particular texts and particular purposes for reading, and developing greater control in writing. The course is intended to prepare students for university, college, or the workplace. (Prerequisite: English, Grade 11, University Preparation.)"
ENG4UW	English	12	English	University (AP)	There is no description for this course.
ETS4UY	Studies in Literature (Media)	12	English	University	There is no description for this course.
EWC4CI	The Writer's Craft	12	English	College	"This course emphasizes knowledge and skills related to the craft of writing. Students will investigate models of effective writing; use a workshop approach to write a variety of works; and make considered decisions for improving the quality of their writing. They will also complete a creative or analytical independent study project and investigate opportunities for publication and for writing careers. (Prerequisite: English, Grade 11, College Preparation.)"
EWC4UI	The Writer's Craft	12	English	University	"This course emphasizes knowledge and skills related to the craft of writing. Students will analyse models of effective writing; use a workshop approach to produce a range of works; identify and use techniques required for specialized forms of writing; and identify effective ways to improve the quality of their writing. They will also complete a major paper as part of a creative or analytical independent study project and investigate opportunities for publication and for writing careers. (Prerequisite: English, Grade 11, University Preparation.)"
OLC4OI	Literacy Skills	12	English	Open	"This course is designed to help students acquire and demonstrate the cross-curricular literacy skills that are evaluated by the Ontario Secondary School Literacy Test (OSSLT). Students who complete the course successfully will meet the provincial literacy requirement for graduation. Students will read a variety of informational, narrative, and graphic texts and will produce a variety of forms of writing, including summaries, information paragraphs, opinion pieces, and news reports. Students will also maintain and manage a portfolio containing a record of their reading experiences and samples of their writing. (Eligibility requirement: Students who have been unsuccessful at least once on the Ontario Secondary School Literacy Test are eligible to take the course.)"
ESLAOI	"Beginning Communication in English, ESL, Level 1"	9	English Language Learners	Open	"Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits. This course builds on students’ previous education and language knowledge to introduce the English language and help students adjust to their new cultural environment. Students will use beginning English language skills in listening, speaking, reading, and writing for everyday and essential academic purposes; use basic English language structures and simple sentence patterns in short conversations; read short adapted texts; and write phrases and short sentences. The course also provides students with the knowledge and skills they need to begin to adapt to their new lives in Canada."
ESLBOI	"English in Daily Life, ESL, Level 2"	9	English Language Learners	Open	"Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits. This course expands students' listening, speaking, reading, and writing skills in English for everyday and academic purposes. Students will participate in conversations, in structured situations, on a variety of familiar and new topics; link English sentences to compose paragraphs; read a variety of texts designed or adapted for English language learners; and expand their knowledge of English grammatical structures and sentence patterns. The course also supports students' continuing adaptation to the Ontario school system by expanding their cultural knowledge of their new province and country. (Prerequisite: English as a Second Language, Level 1, or equivalent.)"
ESLCOI	"English for School and Work, ESL Level 3"	9	English Language Learners	Open	"This course extends students’ skills in listening, speaking, reading, and writing in English for a variety of everyday and academic purposes. Students will make short classroom presentations; read a variety of adapted and original texts in English; and write using a variety of forms of text. Students will also expand their academic vocabulary and their study skills to facilitate the transition to the mainstream school program. This course also introduces students to the rights and responsibilities inherent in Canadian citizenship, and to a variety of current Canadian issues. (Prerequisite: English as a Second Language, Level 2, or equivalent.) Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
ESLDOI	"Studies in Academic English, ESL, Level 4"	9	English Language Learners	Open	"Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits. This course prepares students to use English with increasing fluency and accuracy in classroom and social situations and to participate in Canadian society as informed citizens. Students will develop the reading, writing, and oral presentation skills required for success in all school subjects. They will study and interpret a variety of grade-level texts; extend listening and speaking skills through participation in discussions and seminars; write narratives, articles, and summaries in English; and respond critically to various print and media texts. (Prerequisite: English as a Second Language, Level 3, or equivalent.)"
ESLEOI	"Bridge to Mainstream English,ESL, Level 5"	9	English Language Learners	Open	"Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits. This course provides students with the skills and strategies they need to make the transition to college and university preparation courses in English and other secondary school disciplines. Students will be encouraged to develop independence in a range of academic tasks. They will participate in debates and lead classroom workshops; read and interpret literary works and academic texts; write essays, narratives, and reports; and apply a range of learning strategies and research skills effectively. Students will further develop their ability to respond critically to print and media texts. (Prerequisite: English as a Second Language, Level 4, or equivalent.)"
ELS2OZ	Literacy Sills: Reading and Writing	9	English Language Learners	Open	Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits.
GLS4OZ	TOEFL Preparation	9	English Language Learners	ESL	Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits.
BTT1OZ	Introduction to Information Technology in Business	9	English Language Learners	Open	"Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits. This course introduces students to information and communication technology in a business environment and builds a foundation of digital literacy skills necessary for success in a technologically driven society. Students will develop word processing, spreadsheet, database, desktop publishing, presentation software, and website design skills. Throughout the course, there is an emphasis on digital literacy, effective electronic research and communication skills, and current issues related to the impact of information and communication technology."
CGC1DZ	Issues in Canadian Geography	9	English Language Learners	Academic	"Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits. This course examines interrelationships within and between Canada’s natural and human systems and how these systems interconnect with those in other parts of the world. Students will explore environmental, economic, and social geographic issues relating to topics such as transportation options, energy choices, and urban development. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate various geographic issues and to develop possible approaches for making Canada a more sustainable place to live."
CGC1PZ	Issues in Canadian Geography	9	English Language Learners	Applied	"This course is for students enrolled in the ESL/ELD program. This course focuses on current geographic issues that affect Canadians. Students will draw on their personal and everyday experiences as they explore a range of issues, including food and water supplies, competing land uses, and interactions with the natural environment, developing their awareness that issues that affect their lives are interconnected with issues in other parts of the world. Students will apply the concepts of geographic thinking and the geographic inquiry process, including spatial technologies, to investigate choices related to sustainable living in Canada. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
FSF1PZ	ESL Beginner French	9	English Language Learners	Applied	"This course is for students enrolled in the ESL/ELD program. This course provides opportunities for students to communicate and interact in French in structured situations on everyday topics and to apply their knowledge of French in everyday situations. Students will continue to develop language knowledge and skills introduced in the elementary Core French program, through practical applications and concrete examples, and will use creative and critical thinking skills in various ways. They will also enhance their understanding and appreciation of diverse French-speaking communities, and will develop the skills necessary to become life-long language learners. (Prerequisite: Minimum of 600 hours of elementary Core French instruction, or equivalent.) Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
HIF1OZ	Exploring Family Studies	9	English Language Learners	Open	"This course is for students enrolled in the ESL/ELD program. This course explores, within the context of families, some of the fundamental challenges people face: how to meet basic needs, how to relate to others, how to manage resources, and how to become responsible members of society. Students will explore adolescent development and will have opportunities to develop interpersonal, decision-making, and practical skills related to daily life. They will learn about the diverse ways in which families function in Canada and will use research skills as they explore topics related to individual and family needs and resources. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
MFM1PZ	Foundations of Mathematics	9	English Language Learners	Applied	"This course is for students enrolled in the ESL/ELD program. This course enables students to develop understanding of mathematical concepts related to introductory algebra, proportional reasoning, and measurement and geometry through investigation, the effective use of technology, and hands-on activities. Students will investigate real-life examples to develop various representations of linear relationships, and will determine the connections between the representations. They will also explore certain relationships that emerge from the measurement of three-dimensional objects and two-dimensional shapes. Students will consolidate their mathematical skills as they solve problems and communicate their thinking. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
SNC1DZ	Science	9	English Language Learners	Academic	"This course is for students enrolled in the ESL/ELD program. This course enables students to develop their understanding of basic concepts in biology, chemistry, earth and space science, and physics, and to relate science to technology, society, and the environment. Throughout the course, students will develop their skills in the processes of scientific investigation. Students will acquire an understanding of scientific theories and conduct investigations related to sustainable ecosystems; atomic and molecular structures and the properties of elements and compounds; the study of the universe and its properties and components; and the principles of electricity. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
SNC1PZ	Science	9	English Language Learners	Applied	"This course is for students enrolled in the ESL/ELD program. This course enables students to develop their understanding of basic concepts in biology, chemistry, earth and space science, and physics, and to apply their knowledge of science to everyday situations. They are also given opportunities to develop practical skills related to scientific investigation. Students will plan and conduct investigations into practical problems and issues related to the impact of human activity on ecosystems; the structure and properties of elements and compounds; space exploration and the components of the universe; and static and current electricity. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
BTT2OZ	Introduction to Information Technology in Business	10	English Language Learners	Open	"This course is for students enrolled in the ESL/ELD program. This course introduces students to information and communication technology in a business environment and builds a foundation of digital literacy skills necessary for success in a technologically driven society. Students will develop word processing, spreadsheet, database, desktop publishing, presentation software, and website design skills. Throughout the course, there is an emphasis on digital literacy, effective electronic research and communication skills, and current issues related to the impact of information and communication technology. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
CHC2DZ	Canadian History in the 20th Century	10	English Language Learners	Academic	Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits.
CHC2PZ	Canadian History in the 20th Century	10	English Language Learners	Applied	"This course is for students enrolled in the ESL/ELD program. This course focuses on the social context of historical developments and events and how they have affected the lives of people in Canada since 1914. Students will explore interactions between various communities in Canada as well as contributions of individuals and groups to Canadian heritage and identity. Students will develop their ability to apply the concepts of historical thinking and the historical inquiry process, including the interpretation and analysis of evidence, when investigating the continuing relevance of historical developments and how they have helped shape communities in present-day Canada. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
CHV2OZ	Civics and Citizenship	10	English Language Learners	Open	"This 0.5 credit course is for students enrolled in the ESL/ELD program. This course explores rights and responsibilities associated with being an active citizen in a democratic society. Students will explore issues of civic importance such as healthy schools, community planning, environmental responsibility, and the influence of social media, while developing their understanding of the role of civic engagement and of political processes in the local, national, and/or global community. Students will apply the concepts of political thinking and the political inquiry process to investigate, and express informed opinions about, a range of political issues and developments that are both of significance in today’s world and of personal interest to them. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
ELS2OZ	Literacy Skills: Reading and Writing	10	English Language Learners	Open	Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits.
GLC2OZ	Career Studies	10	English Language Learners	Open	"This 0.5 credit course is for students enrolled in the ESL/ELD programs. This course teaches students how to develop and achieve personal goals for future learning, work, and community involvement. Students will assess their interests, skills, and characteristics and investigate current economic and workplace trends, work opportunities, and ways to search for work. The course explores postsecondary learning and career options, prepares students for managing work and life transitions, and helps students focus on their goals through the development of a career plan. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
HFN2OZ	Food and Nutrition	10	English Language Learners	Open	"This course is for students enrolled in the ESL/ELD program. This course focuses on guidelines for making nutritious food choices. Students will investigate factors that influence food choices, including beliefs, attitudes, current trends, traditional eating patterns, food marketing strategies, and individual needs. Students will also explore the environmental impact of a variety of food choices at the local and global level. The course provides students with opportunities to develop food preparation skills and introduces them to the use of social science research methods in the area of food and nutrition. Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
MFM2PZ	Foundations of Mathematics	10	English Language Learners	Applied	"This course is for students enrolled in the ESL/ELD program. This course enables students to consolidate their understanding of relationships and extend their problem-solving and algebraic skills through investigation, the effective use of technology, and hands-on activities. Students will develop and graph equations in analytic geometry; solve and apply linear systems, using real-life examples; and explore and interpret graphs of quadratic relationships. Students will investigate similar triangles, the trigonometry of right-angles triangles, and the measurement of three-dimensional objects. Students will consolidate their mathematical skills as they solve problems and communicate their thinking. (Prerequisite: Grade 9 Mathematics, Academic or Applied.) Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
PAI2OZ	Healthy Active Living and Individual Small Group Activities (Racquet Sports)	10	English Language Learners	Open (CoEd)	Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits.
SNC2DZ	Science	10	English Language Learners	Academic	"This course is for students enrolled in the ESL/ELD program. This course enables students to enhance their understanding of concepts in biology, chemistry, earth and space science, and physics, and of the interrelationships between science, technology, society, and the environment. Students are also given opportunities to further develop their scientific investigation skills. Students will plan and conduct investigations and develop their understanding of scientific theories related to the connections between cells and systems in animals and plants; chemical reactions, with a particular focus on acid–base reactions; forces that affect climate and climate change; and the interaction of light and matter. (Prerequisite: Grade 9 Science, Academic or Applied.) Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits."
SNC2PZ	Science	10	English Language Learners	Applied	"This course is for students enrolled in the ESL/ELD program. This course enables students to develop a deeper understanding of concepts in biology, chemistry, earth and space science, and physics, and to apply their knowledge of science in real-world situations. Students are given opportunities to develop further practical skills in scientific investigation. Students will plan and conduct investigations into everyday problems and issues related to human cells and body systems; chemical reactions; factors affecting climate change; and the interaction of light and matter. (Prerequisite: Grade 9 Science, Academic or Applied.) Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits. "
AVI3OZ	Visual Arts for Senior ELL's	11	English Language Learners	ESL	Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits.
GLS4OZ	TOEFL Preparation	11	English Language Learners	ESL	Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits.
SVN3MZ	Environmental Science	11	English Language Learners	ESL - University/College	Specialized ESL courses are designed to meet the needs of students who are enrolled in ESL programs in consultation with WCI ESL staff. Three ESL English courses may be used as compulsory English credits.
FEF1DI	Extended French	9	French As a Second Language	Academic	"This course provides opportunities for students to speak and interact in French in a variety of real-life and personally relevant contexts. Students will continue to use language-learning strategies introduced in the elementary Extended French program. They will develop their creative and critical thinking skills, through independently responding to and interacting with a variety of oral and written texts, and will continue to enhance their understanding and appreciation of diverse French-speaking communities. They will also develop the skills necessary to become life-long language learners. (Prerequisite: Minimum of 1260 hours of instruction in elementary Extended French, or equivalent.)"
FSF1DI	Core French	9	French As a Second Language	Academic	"This course provides opportunities for students to communicate and interact in French with increasing independence, with a focus on familiar topics related to their daily lives. Students will continue to develop language knowledge and skills by using language-learning strategies introduced in the elementary Core French program, and will apply creative and critical thinking skills in various ways. They will also enhance their understanding and appreciation of diverse French-speaking communities, and will develop the skills necessary to become life-long language learners. (Prerequisite: Minimum of 600 hours of elementary Core French instruction, or equivalent.)"
FSF1PI	Core French	9	French As a Second Language	Applied	"This course provides opportunities for students to communicate and interact in French in structured situations on everyday topics and to apply their knowledge of French in everyday situations. Students will continue to develop language knowledge and skills introduced in the elementary Core French program, through practical applications and concrete examples, and will use creative and critical thinking skills in various ways. They will also enhance their understanding and appreciation of diverse French-speaking communities, and will develop the skills necessary to become life-long language learners. (Prerequisite: Minimum of 600 hours of elementary Core French instruction, or equivalent.)"
FEF2DI	Extended French	10	French As a Second Language	Academic	"This course provides extensive opportunities for students to use their communication skills in French and to apply language-learning strategies. Students will respond to and interact with French oral and written texts in a variety of real-life contexts, using their creative and critical thinking skills to explore and evaluate information and ideas in the texts. Students will increase their knowledge of the language through the study of French-Canadian authors. They will also continue to increase their understanding and appreciation of French-speaking communities and to develop the skills necessary to become life-long language learners. (Prerequisite: Grade 9 Extended French, Academic.)"
FSF2DI	Core French	10	French As a Second Language	Academic 	"This course provides opportunities for students to communicate in French about personally relevant, familiar, and academic topics in real-life situations with increasing independence. Students will exchange information, ideas, and opinions with others in guided and increasingly spontaneous spoken interactions. Students will continue to develop their language knowledge and skills through the selective use of strategies that contribute to effective communication. They will also increase their understanding and appreciation of diverse French-speaking communities, and will continue to develop the skills necessary to become life-long language learners. (Prerequisite: Grade 9 Core French, Academic or Applied.)"
FSF2DW	Core French	10	French As a Second Language	Academic (Pre-AP)	There is no description for this course.
FEF3UI	Extended French	11	French As a Second Language	University	"This course provides opportunities for students to communicate about concrete and abstract topics in various situations. Students will consolidate language-learning strategies and apply them in a variety of real-life contexts in order to enhance and refine their communication skills, and will continue to develop creative and critical thinking skills. Students will develop their knowledge of the language through the study of contemporary and well-known French European authors. They will also continue to deepen their understanding and appreciation of diverse French-speaking communities, and develop the skills necessary to become life-long language learners. (Prerequisite: Grade 10 Extended French, Academic.)"
FSF3UI	Core French	11	French As a Second Language	University	"This course offers students extended opportunities to speak and interact in real-life situations in French with greater independence. Students will develop their creative and critical thinking skills through responding to and exploring a variety of oral and written texts. They will continue to broaden their understanding and appreciation of diverse French-speaking communities and to develop the skills necessary for life-long language learning. (Prerequisite: Grade 10 Core French, Academic.)"
FSF3UW	Core French	11	French As a Second Language	University (Pre-AP)	There is no description for this course.
FEF4UI	Extended French	12	French As a Second Language	University	"This course further emphasizes the consolidation of communication skills required to interact in French for various purposes about concrete and abstract topics. Students will independently apply language-learning strategies in a variety of real-life and personally relevant contexts, and will broaden their creative and critical thinking skills through responding to and analysing oral and written texts. Students will increase their knowledge of the language through the study of Canadian and international French literature. They will also continue to enrich their understanding and appreciation of diverse French-speaking communities and to develop the skills necessary to become life-long language learners. (Prerequisite: Grade 11 Extended French, University Preparation.)"
FEF4UW	Extended French	12	French As a Second Language	University (AP)	There is no description for this course.
FSF4UI	Core French	12	French As a Second Language	University	"This course provides extensive opportunities for students to speak and interact in French independently. Students will apply language-learning strategies in a wide variety of real-life situations, and will continue to develop their creative and critical thinking skills through responding to and interacting with a variety of oral and written texts. Students will also continue to enrich their understanding and appreciation of diverse French-speaking communities and to develop the skills necessary for life-long language learning. (Prerequisite: Grade 11 Core French, University Preparation.)"
FSF4UW	Core French	12	French As a Second Language	University (AP)	There is no description for this course.
GLC2OH	Career Studies	10	Guidance and Career Education and Coop	Open	"This is a 0.5 credit course. This course teaches students how to develop and achieve personal goals for future learning, work, and community involvement. Students will assess their interests, skills, and characteristics and investigate current economic and workplace trends, work opportunities, and ways to search for work. The course explores postsecondary learning and career options, prepares students for managing work and life transitions, and helps students focus on their goals through the development of a career plan. Coop education is available to senior students. Placements are accessible in a wide range of fields related to current and future areas of study. See Mr. Rintche or Guidance for applications and more information."
GLC2OF	"Career Studies, Extended French"	10	Guidance and Career Education and Coop	Open	"This 0.5 credit course is offered with French as the language of instruction. This course teaches students how to develop and achieve personal goals for future learning, work, and community involvement. Students will assess their interests, skills, and characteristics and investigate current economic and workplace trends, work opportunities, and ways to search for work. The course explores postsecondary learning and career options, prepares students for managing work and life transitions, and helps students focus on their goals through the development of a career plan. Coop education is available to senior students. Placements are accessible in a wide range of fields related to current and future areas of study. See Mr. Rintche or Guidance for applications and more information."
COP3O2	Co-op Education	11	Guidance and Career Education and Coop	2 Credit	Coop education is available to senior students. Placements are accessible in a wide range of fields related to current and future areas of study. See Mr. Rintche or Guidance for applications and more information.
COP3O3	Co-op Education	11	Guidance and Career Education and Coop	3 Credit	Coop education is available to senior students. Placements are accessible in a wide range of fields related to current and future areas of study. See Mr. Rintche or Guidance for applications and more information.
COP4O2	Co-op Education	12	Guidance and Career Education and Coop	2 Credit	Coop education is available to senior students. Placements are accessible in a wide range of fields related to current and future areas of study. See Mr. Rintche or Guidance for applications and more information.
COP4O3	Co-op Education	12	Guidance and Career Education and Coop	3 Credit	Coop education is available to senior students. Placements are accessible in a wide range of fields related to current and future areas of study. See Mr. Rintche or Guidance for applications and more information.
COP4O4	Co-op Education	12	Guidance and Career Education and Coop	4 Credit	Coop education is available to senior students. Placements are accessible in a wide range of fields related to current and future areas of study. See Mr. Rintche or Guidance for applications and more information.
PPL1OX	Healthy Active Living Education	9	Health and Physical Education	Open (Female)	"This course equips students with the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities, students develop knowledge and skills related to movement competence and personal fitness that provide a foundation for active living. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively. Highly Recommended."
PPL1OY	Healthy Active Living Education	9	Health and Physical Education	Open (Male)	"This course equips students with the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities, students develop knowledge and skills related to movement competence and personal fitness that provide a foundation for active living. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively. Highly Recommended."
PAF2OX	"Live Fit I (Fitness Enthusiast), Fitness Activities"	10	Health and Physical Education	Open (Female)	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities, students develop knowledge and skills related to movement competence and personal fitness that provide a foundation for active living. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PAF2OY	"Healthy Active Living Education, Personal and Fitness Activities"	10	Health and Physical Education	Open (Male)	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities, students develop knowledge and skills related to movement competence and personal fitness that provide a foundation for active living. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PAI2OI	Healthy Active Living and Individual Small Group Activities (Racquet Sports)	10	Health and Physical Education	Open (CoEd)	There is no description for this course.
PPL2OX	Healthy Active Living Education	10	Health and Physical Education	Open (Female)	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities, students develop knowledge and skills related to movement competence and personal fitness that provide a foundation for active living. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PPL2OY	Healthy Active Living Education	10	Health and Physical Education	Open (Male)	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities, students develop knowledge and skills related to movement competence and personal fitness that provide a foundation for active living. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PAF3OX	Live Fit II (Fitness Advanced Training)	11	Health and Physical Education	Open	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities and exposure to a broader range of activity settings, students enhance their movement competence, personal fitness, and confidence. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PPL3OX	Healthy Active Living Education	11	Health and Physical Education	Open - Male	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities and exposure to a broader range of activity settings, students enhance their movement competence, personal fitness, and confidence. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PPL3OY	Healthy Active Living Education	11	Health and Physical Education	Open - Female	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities and exposure to a broader range of activity settings, students enhance their movement competence, personal fitness, and confidence. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PAF3OX	"Health for Life, O, Power Fit"	11	Health and Physical Education	Female	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities and exposure to a broader range of activity settings, students enhance their movement competence, personal fitness, and confidence. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PAF3OY	"Health for Life, O, Power Fit"	11	Health and Physical Education	Male	"This course enables students to further develop the knowledge and skills they need to make healthy choices now and lead healthy, active lives in the future. Through participation in a wide range of physical activities and exposure to a broader range of activity settings, students enhance their movement competence, personal fitness, and confidence. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PAF4OI	Personal and Fitness Activities	12	Health and Physical Education	Open	There is no description for this course.
PLF4MI	Athletic Leadership	12	Health and Physical Education	University/College (Application Process)	"Recreation and Fitness Leadership - This course enables students to explore the benefits of lifelong participation in active recreation and healthy leisure and to develop the leadership and coordinating skills needed to plan, organize, and safely implement recreational events and other activities related to healthy, active living. Students will also learn how to promote the benefits of healthy, active living to others through mentoring and assisting them in making informed decisions that enhance their well-being. The course will prepare students for university programs in physical education and health and kinesiology and for college and university programs in recreation and leisure management, fitness and health promotion, and fitness leadership. (Prerequisite: Any Grade 11 or 12 open course in Health and Physical Education.)"
PPL4OI	Healthy Active Living Education	12	Health and Physical Education	Open	"This course enables students to further develop the knowledge and skills they need to make healthy choices. It places special emphasis on how students can maintain the habits of healthy, active living throughout their lives as they make the transition to adulthood and independent living. Through participation in a wide range of physical activities in a variety of settings, students can enhance their movement competence, personal fitness, and confidence. Students also acquire an understanding of the factors and skills that contribute to healthy development and learn how their own well-being is affected by, and affects, the world around them. Students build their sense of self, learn to interact positively with others, and develop their ability to think critically and creatively."
PSK4UI	Exercise Science	12	Health and Physical Education	University	"Introductory Kinesiology - This course focuses on the study of human movement and of systems, factors, and principles involved in human development. Students will learn about the effects of physical activity on health and performance, the evolution of physical activity and sport, and the physiological, psychological, and social factors that influence an individual’s participation in physical activity and sport. The course prepares students for university programs in physical education and health, kinesiology, health sciences, health studies, recreation, and sports administration. (Prerequisite: Any Grade 11 University or University/College preparation course in Science, or any Grade 11 or 12 open course in Health and Physical Education.)"
GPP3OX	Wellness for Life	11	Interdisciplinary Studies	Open	"Leadership and Peer Support: This course emphasizes community based leadership and peer support. This course prepares students to act in leadership and peer support roles. They will design and implement a plan for contributing to their school and/or community; develop skills in communication, interpersonal relations, teamwork, and conflict management; and apply those skills in leadership and/or peer support roles - for example, as a student council member or a peer tutor. Students will examine group dynamics and learn the value of diversity within groups and communities."
IDC3OY	Interdiscplinary Studies	11	Interdisciplinary Studies	Open Leadership (Application Process)	There is no description for this course.
